Event Name,Event English Name,URL
Alpine Skiing,alpine-skiing,https://olympics.com/en/olympic-games/turin-2006/results/alpine-skiing
Biathlon,biathlon,https://olympics.com/en/olympic-games/turin-2006/results/biathlon
Bobsleigh,bobsleigh,https://olympics.com/en/olympic-games/turin-2006/results/bobsleigh
Cross Country Skiing,cross-country-skiing,https://olympics.com/en/olympic-games/turin-2006/results/cross-country-skiing
Curling,curling,https://olympics.com/en/olympic-games/turin-2006/results/curling
Figure skating,figure-skating,https://olympics.com/en/olympic-games/turin-2006/results/figure-skating
Freestyle Skiing,freestyle-skiing,https://olympics.com/en/olympic-games/turin-2006/results/freestyle-skiing
Ice Hockey,ice-hockey,https://olympics.com/en/olympic-games/turin-2006/results/ice-hockey
Luge,luge,https://olympics.com/en/olympic-games/turin-2006/results/luge
Nordic Combined,nordic-combined,https://olympics.com/en/olympic-games/turin-2006/results/nordic-combined
Short Track Speed Skating,short-track-speed-skating,https://olympics.com/en/olympic-games/turin-2006/results/short-track-speed-skating
Skeleton,skeleton,https://olympics.com/en/olympic-games/turin-2006/results/skeleton
Ski Jumping,ski-jumping,https://olympics.com/en/olympic-games/turin-2006/results/ski-jumping
Snowboard,snowboard,https://olympics.com/en/olympic-games/turin-2006/results/snowboard
Speed skating,speed-skating,https://olympics.com/en/olympic-games/turin-2006/results/speed-skating
