Event Name,Event English Name,URL
Alpine Skiing,alpine-skiing,https://olympics.com/en/olympic-games/innsbruck-1976/results/alpine-skiing
Biathlon,biathlon,https://olympics.com/en/olympic-games/innsbruck-1976/results/biathlon
Bobsleigh,bobsleigh,https://olympics.com/en/olympic-games/innsbruck-1976/results/bobsleigh
Cross Country Skiing,cross-country-skiing,https://olympics.com/en/olympic-games/innsbruck-1976/results/cross-country-skiing
Figure skating,figure-skating,https://olympics.com/en/olympic-games/innsbruck-1976/results/figure-skating
Ice Hockey,ice-hockey,https://olympics.com/en/olympic-games/innsbruck-1976/results/ice-hockey
Luge,luge,https://olympics.com/en/olympic-games/innsbruck-1976/results/luge
Nordic Combined,nordic-combined,https://olympics.com/en/olympic-games/innsbruck-1976/results/nordic-combined
Ski Jumping,ski-jumping,https://olympics.com/en/olympic-games/innsbruck-1976/results/ski-jumping
Speed skating,speed-skating,https://olympics.com/en/olympic-games/innsbruck-1976/results/speed-skating
