Event Name,Event English Name,URL
Archery,archery,https://olympics.com/en/olympic-games/athens-2004/results/archery
Athletics,athletics,https://olympics.com/en/olympic-games/athens-2004/results/athletics
Badminton,badminton,https://olympics.com/en/olympic-games/athens-2004/results/badminton
Baseball,baseball,https://olympics.com/en/olympic-games/athens-2004/results/baseball
Basketball,basketball,https://olympics.com/en/olympic-games/athens-2004/results/basketball
Beach Volleyball,beach-volleyball,https://olympics.com/en/olympic-games/athens-2004/results/beach-volleyball
Boxing,boxing,https://olympics.com/en/olympic-games/athens-2004/results/boxing
Canoe Slalom,canoe-slalom,https://olympics.com/en/olympic-games/athens-2004/results/canoe-slalom
Canoe Sprint,canoe-sprint,https://olympics.com/en/olympic-games/athens-2004/results/canoe-sprint
Cycling Mountain Bike,cycling-mountain-bike,https://olympics.com/en/olympic-games/athens-2004/results/cycling-mountain-bike
Cycling Road,cycling-road,https://olympics.com/en/olympic-games/athens-2004/results/cycling-road
Cycling Track,cycling-track,https://olympics.com/en/olympic-games/athens-2004/results/cycling-track
Diving,diving,https://olympics.com/en/olympic-games/athens-2004/results/diving
Equestrian Dressage,equestrian-dressage,https://olympics.com/en/olympic-games/athens-2004/results/equestrian-dressage
Equestrian Eventing,equestrian-eventing,https://olympics.com/en/olympic-games/athens-2004/results/equestrian-eventing
Equestrian Jumping,equestrian-jumping,https://olympics.com/en/olympic-games/athens-2004/results/equestrian-jumping
Fencing,fencing,https://olympics.com/en/olympic-games/athens-2004/results/fencing
Football,football,https://olympics.com/en/olympic-games/athens-2004/results/football
Gymnastics Artistic,gymnastics-artistic,https://olympics.com/en/olympic-games/athens-2004/results/gymnastics-artistic
Gymnastics Rhythmic,gymnastics-rhythmic,https://olympics.com/en/olympic-games/athens-2004/results/gymnastics-rhythmic
Handball,handball,https://olympics.com/en/olympic-games/athens-2004/results/handball
Hockey,hockey,https://olympics.com/en/olympic-games/athens-2004/results/hockey
Judo,judo,https://olympics.com/en/olympic-games/athens-2004/results/judo
Modern Pentathlon,modern-pentathlon,https://olympics.com/en/olympic-games/athens-2004/results/modern-pentathlon
Rowing,rowing,https://olympics.com/en/olympic-games/athens-2004/results/rowing
Sailing,sailing,https://olympics.com/en/olympic-games/athens-2004/results/sailing
Shooting,shooting,https://olympics.com/en/olympic-games/athens-2004/results/shooting
Softball,softball,https://olympics.com/en/olympic-games/athens-2004/results/softball
Swimming,swimming,https://olympics.com/en/olympic-games/athens-2004/results/swimming
Synchronized Swimming,synchronized-swimming,https://olympics.com/en/olympic-games/athens-2004/results/synchronized-swimming
Table Tennis,table-tennis,https://olympics.com/en/olympic-games/athens-2004/results/table-tennis
Taekwondo,taekwondo,https://olympics.com/en/olympic-games/athens-2004/results/taekwondo
Tennis,tennis,https://olympics.com/en/olympic-games/athens-2004/results/tennis
Trampoline,trampoline,https://olympics.com/en/olympic-games/athens-2004/results/trampoline
Triathlon,triathlon,https://olympics.com/en/olympic-games/athens-2004/results/triathlon
Volleyball,volleyball,https://olympics.com/en/olympic-games/athens-2004/results/volleyball
Water Polo,water-polo,https://olympics.com/en/olympic-games/athens-2004/results/water-polo
Weightlifting,weightlifting,https://olympics.com/en/olympic-games/athens-2004/results/weightlifting
Wrestling,wrestling,https://olympics.com/en/olympic-games/athens-2004/results/wrestling
